Date,Value,Anomaly
198507,75.5,-2.1
198607,75.7,-1.9
198707,77.6,0.0
198807,79.1,1.5
198907,74.6,-3.0
199007,76.3,-1.3
199107,77.3,-0.3
199207,73.7,-3.9
199307,79.7,2.1
199407,78.9,1.3
199507,78.5,0.9
199607,73.8,-3.8
199707,76.2,-1.4
199807,77.0,-0.6
199907,81.9,4.3
200007,72.8,-4.8
200107,73.7,-3.9
200207,79.3,1.7
200307,76.3,-1.3
200407,75.0,-2.6
200507,78.1,0.5
200607,78.5,0.9
200707,75.5,-2.1
200807,78.9,1.3
200907,73.2,-4.4
201007,81.8,4.2
201107,80.8,3.2
201207,79.3,1.7
201307,80.3,2.7
201407,76.2,-1.4
201507,78.8,1.2
201607,78.7,1.1
201707,76.8,-0.8
201807,77.6,0.0
201907,79.6,2.0
202007,80.0,2.4
202107,76.0,-1.6
202207,79.6,2.0
202307,79.1,1.5
